case,n_agents,n_additional_agents,baseline_min_sep_nmi,baseline_min_sep_nmi_std,rl_min_sep_nmi,rl_min_sep_nmi_std,baseline_risk_exposure,baseline_risk_exposure_std,rl_risk_exposure,rl_risk_exposure_std,baseline_dist_m,baseline_dist_m_std,rl_dist_m,rl_dist_m_std,baseline_time_s,baseline_time_s_std,rl_time_s,rl_time_s_std,baseline_collision_rate,rl_collision_rate,n_episodes_baseline,n_episodes_rl
1,2,1,0.23113678520336323,0.005793225646189944,0.13476145920400845,0.009232045484183445,0.3333333333333334,1.1158161231197418e-16,0.3333333333333334,1.1158161231197418e-16,3792.6,9.390517460811763,3576.56,9.081013048101793,632.1,1.5650862434686945,376.48,0.9558961103265216,0.0,0.0,100,100
2,2,1,0.5004331665072248,0.004440030164183347,0.3233916667154537,0.012259451146774607,0.23149775078260837,0.13593233875549468,0.19741732775285004,0.14857724184561122,3573.81,4.152874141646838,3590.525,9.979682643078466,595.635,0.6921456902745668,377.95,1.0504929097977547,0.0,0.0,100,100
3,2,1,1.0499999999999998,2.2429892266911074e-16,0.3841279448593788,0.002648100550406682,0.33333333333333326,5.607473066727768e-17,0.33333333333333326,5.607473066727768e-17,3507.72,1.552351737966684,3615.6049999999987,12.277830734743882,584.62,0.258725289661069,380.59,1.2924032352361934,0.0,0.0,50,50
6,3,2,0.5625623745005048,0.003024133380636933,0.15159648156973282,0.01356453025795491,0.23895493368367515,0.13198527860651746,0.27373089906348563,0.11322491443273604,3524.64,2.772593141316075,3545.5425,6.893494865787783,587.44,0.4620988568860061,373.215,0.7256310385040073,0.0,0.0,100,100
7,3,2,0.6834918194692307,0.006289570548279145,0.11268439489797531,0.00290239670069321,0.33333333333333326,5.607473066727768e-17,0.33333333333333326,5.607473066727768e-17,3507.72,1.8739895236360198,3542.55,9.972922524188856,584.62,0.3123315872725064,372.9,1.0497813183356477,0.0,0.0,50,50
9,3,2,0.5142929300222981,0.004687732873855533,0.21818758427648668,0.009967568054171356,0.3152420023062225,0.04965031984842086,0.1827148945642146,0.15480629130513437,3574.14,4.280997404286601,3532.955,9.893655202466974,595.69,0.7134995673811311,371.89,1.0414373897333886,0.0,0.0,50,50
10,3,2,0.4867384444787921,0.00353212544396319,0.06576666593822024,0.014602210924804586,0.29236885256178924,0.08732422478703608,0.276051494900339,0.11076362537666853,3597.6599999999994,5.0086048405693075,3528.3,9.644312059552224,599.61,0.8347674734283059,371.4,1.0151907431108496,0.0,0.0,50,50
13,4,3,0.2828624341006657,0.004260541895308666,0.037969469562867626,0.006759560875585016,0.33333333333333326,5.607473066727768e-17,0.33333333333333326,5.607473066727768e-17,5100.0,2.6973715248494167e-12,3547.68,6.8961021229239865,850.0,0.0,373.44,0.7259054866235713,0.0,0.0,50,50
18,4,3,0.4130351157562744,0.0060882169536891715,0.1262520183177138,0.010269337855197805,0.282861846929365,0.09438277939410158,0.2767585976451696,0.11239129393337141,3699.3,7.379646581881028,3552.05,3.7166887830708695,616.55,1.2299410969801832,373.9,0.3912303982179758,0.0,0.0,50,50
21,4,3,0.49909397854183346,0.004764523607889505,0.07860758906438643,0.009653345545768612,0.3062777469866665,0.07349747096649914,0.2838507151999682,0.10639085112323853,3579.539999999999,3.9600556582360436,3538.275,3.493160226406535,596.59,0.6600092763726576,372.45,0.36770107646382144,0.0,0.0,50,50
