iteration,episode_return_mean,episode_len_mean,eval_return_mean,eval_ep_length_mean
1,2209.4114825690403,1501.0,nan,nan
2,2242.8557278860826,1501.0,nan,nan
3,2275.9478596998283,1501.0,nan,nan
4,2320.201608275092,1501.0,nan,nan
5,2362.277179814141,1501.0,nan,nan
6,2397.136695452821,1501.0,nan,nan
7,2433.915935865341,1501.0,nan,nan
8,2470.1816251327273,1501.0,nan,nan
9,2505.0674556054296,1501.0,nan,nan
10,2538.023601191557,1501.0,1444.3722027975682,1501.0
11,2567.7071494183024,1501.0,nan,nan
12,2594.741807697484,1501.0,nan,nan
13,2617.5315079740267,1501.0,nan,nan
14,2640.1158391132126,1501.0,nan,nan
15,2659.6896386171343,1501.0,nan,nan
16,2678.545266307565,1501.0,nan,nan
17,2695.085114503472,1501.0,nan,nan
18,2710.2808779596853,1501.0,nan,nan
19,2724.0621902168295,1501.0,nan,nan
20,2735.004776869577,1501.0,1473.2276780800205,1501.0
21,2746.553109914162,1501.0,nan,nan
22,2755.663139839064,1501.0,nan,nan
23,2765.099339614802,1501.0,nan,nan
24,2773.9088874631366,1501.0,nan,nan
25,2781.7352181512174,1501.0,nan,nan
26,2789.098452186833,1501.0,nan,nan
27,2796.0485920130095,1501.0,nan,nan
28,2802.363774490053,1501.0,nan,nan
29,2808.0079663346273,1501.0,nan,nan
30,2813.634127552848,1501.0,1483.4274682031325,1501.0
31,2819.0006436277363,1501.0,nan,nan
32,2823.721891320937,1501.0,nan,nan
33,2828.394251196556,1501.0,nan,nan
34,2832.7275457344363,1501.0,nan,nan
35,2836.9121729290237,1501.0,nan,nan
36,2840.839930643765,1501.0,nan,nan
37,2844.727572530993,1501.0,nan,nan
38,2848.4832080038177,1501.0,nan,nan
39,2851.92178621797,1501.0,nan,nan
40,2855.2905114202963,1501.0,1495.2541699586075,1501.0
41,2858.2897245741146,1501.0,nan,nan
42,2861.4044553353424,1501.0,nan,nan
43,2864.2899937487487,1501.0,nan,nan
44,2867.05412940477,1501.0,nan,nan
45,2869.656511419957,1501.0,nan,nan
46,2872.2834433768103,1501.0,nan,nan
47,2874.801318132478,1501.0,nan,nan
48,2877.2124229180768,1501.0,nan,nan
49,2879.511631710118,1501.0,nan,nan
50,2881.678713084311,1501.0,1492.1694335145123,1501.0
