case,n_agents,n_additional_agents,baseline_min_sep_nmi,baseline_min_sep_nmi_std,rl_min_sep_nmi,rl_min_sep_nmi_std,baseline_risk_exposure,baseline_risk_exposure_std,rl_risk_exposure,rl_risk_exposure_std,baseline_dist_m,baseline_dist_m_std,rl_dist_m,rl_dist_m_std,baseline_time_s,baseline_time_s_std,rl_time_s,rl_time_s_std,baseline_collision_rate,rl_collision_rate,n_episodes_baseline,n_episodes_rl
1,2,1,0.23003772770084263,0.006839020381824248,0.06329261923299664,0.00784300635567504,0.3333333333333334,1.1158161231197418e-16,0.9999948410840699,3.647437354662418e-05,3791.91,9.792900953799089,3729.605,22.088183572565644,631.985,1.6321501589664298,392.59,2.3250719550068975,0.0,0.0,100,100
2,2,1,0.499790886536658,0.0036087505718913324,0.22859556853464474,0.01240528850888721,0.24147771903035792,0.12576649279960836,0.6805907488911251,0.01131633149223494,3573.4500000000007,3.7507574992498562,3709.275,29.19912695872117,595.575,0.625126249875038,390.45,3.0735923114443295,0.0,0.0,100,100
3,2,1,1.05,0.0,0.355681159154536,0.0011877648104161142,0.3333333333333334,1.1158161231197418e-16,0.6666666666666669,2.2316322462394835e-16,3507.72,1.602271115408074,3528.87,10.473962425409399,584.62,0.2670451859014337,371.46,1.1025223605694152,0.0,0.0,100,100
4,2,1,0.39095554099427643,0.009335643432135207,0.16040768927294058,0.01421414496566701,0.12370303518159326,0.1505893240849938,0.8490980595938095,0.04752627460866031,4746.96,126.37597585272022,3697.1625,27.033891350778312,791.16,21.062662642120003,389.175,2.8456727737660796,0.0,0.0,100,100
5,3,2,0.2615435788655882,0.006754370373321082,0.09058218685564615,0.015582086138821808,0.3333333333333334,1.1158161231197418e-16,0.9927379267089965,0.011358254383662395,3857.130000000001,9.227380205374773,3748.4625000000005,33.00146107494066,642.855,1.537896700895825,394.575,3.473838007888466,0.0,0.0,100,100
6,3,2,0.5620717282107509,0.0028774737872937256,0.014341328021511873,0.008572272784431406,0.2465269685640051,0.12724303413319984,1.0,0.0,3524.4000000000005,3.0151134457774993,3699.015,26.68810265328594,587.4,0.5025189076296062,389.37,2.8092739635037733,0.0,0.0,100,100
7,3,2,0.6846412127094292,0.0064706162961126416,0.14280508772756764,0.004448957297540012,0.3333333333333334,1.1158161231197418e-16,0.9085565321039801,0.013472993120652546,3508.05,2.5361029517383518,3658.4499999999994,24.842788519289734,584.675,0.42268382528979764,385.1,2.6150303704515245,0.0,0.0,100,100
8,3,2,0.2617129483316329,0.006630862575479013,0.09420861160361582,0.01030861279455358,0.3333333333333334,1.1158161231197418e-16,0.9930620660624857,0.008183988193107637,3856.109999999999,7.996078584360469,3754.97,29.555829724558304,642.685,1.3326797640601264,395.26,3.1111399710061134,0.0,0.0,100,100
9,3,2,0.5147217192050051,0.004293758268088095,0.20617591130882412,0.018740405715493645,0.2713264155595155,0.10122376134369733,0.7189738982652978,0.037429115764240156,3573.69,4.019384846647134,3740.15,29.98088616691536,595.615,0.6698974744411463,393.7,3.155882754412141,0.0,0.0,100,100
10,3,2,0.4871661678062257,0.003756573417184425,0.22127479524881166,0.008365660971872609,0.29865530722794503,0.08012823578035273,0.6872992348018232,0.01224619478524436,3596.64,4.598023290699483,3695.1675,29.592626687959484,599.44,0.7663372151166399,388.965,3.115013335574678,0.0,0.0,100,100
