case,n_agents,n_additional_agents,baseline_min_sep_nmi,baseline_min_sep_nmi_std,rl_min_sep_nmi,rl_min_sep_nmi_std,baseline_risk_exposure,baseline_risk_exposure_std,rl_risk_exposure,rl_risk_exposure_std,baseline_dist_m,baseline_dist_m_std,rl_dist_m,rl_dist_m_std,baseline_time_s,baseline_time_s_std,rl_time_s,rl_time_s_std,baseline_collision_rate,rl_collision_rate,baseline_success_rate,rl_success_rate,n_episodes_baseline,n_episodes_rl
1,2,1,0.23003772770084263,0.006839020381824248,0.1479467978150523,0.0030460482388912653,2.096022198708504,0.9482547497624738,241.59336032505303,5.364744572058185,3791.91,9.792900953799089,3749.8,91.4306051361115,631.985,1.6321501589664298,374.98,9.14306051361116,,0.0,,1.0,100,100
2,2,1,0.499790886536658,0.0036087505718913324,0.3396760368219832,0.007768734218847681,0.12073885951517896,0.06288324639980418,195.185556044598,18.649135174873393,3573.4500000000007,3.7507574992498562,3740.5499999999993,66.00388341804319,595.575,0.625126249875038,374.055,6.600388341804311,,0.0,,1.0,100,100
3,2,1,1.05,0.0,0.3004739699099624,0.0032497736740774177,0.4653223333946924,0.08486313553386894,212.73258831721125,11.153422494938992,3507.72,1.602271115408074,3599.2,20.122353016212877,584.62,0.2670451859014337,359.92,2.012235301621286,,0.0,,1.0,100,100
4,2,1,0.39095554099427643,0.009335643432135207,0.10203022815051074,0.003837451873181503,0.06185151759079663,0.0752946620424969,260.79246242345204,1.5890461138560295,4746.96,126.37597585272022,3624.2,14.970003677388315,791.16,21.062662642120003,362.42,1.4970003677387993,,0.0,,1.0,100,100
5,3,2,0.2615435788655882,0.006754370373321082,0.1548796982612271,0.011556242368564588,2.064807522966926,0.684101707462916,249.4414844372937,2.0072710643123104,3857.130000000001,9.227380205374773,3725.1,16.89211160108242,642.855,1.537896700895825,372.51,1.6892111601082749,,0.0,,1.0,100,100
6,3,2,0.5620717282107509,0.0028774737872937256,0.0503578585361741,0.030876364394294656,0.14412383452254512,0.09165022215885163,239.6349846124874,21.250788782180308,3524.4000000000005,3.0151134457774993,3524.7,254.428275698177,587.4,0.5025189076296062,352.47,25.44282756981768,,0.33,,0.67,100,100
7,3,2,0.6846412127094292,0.0064706162961126416,0.062243287313997614,0.005256793627013992,0.557372990989361,0.11593888644246443,234.47639148438236,5.068784386285946,3508.05,2.5361029517383518,3562.6767676767677,8.400471661719573,584.675,0.42268382528979764,356.2676767676768,0.840047166171952,,0.0,,1.0,100,99
8,3,2,0.2617129483316329,0.006630862575479013,0.15294984590129865,0.011443543898417001,2.0477767637887188,0.81108693803327,249.65266153315096,2.2926666643851052,3856.109999999999,7.996078584360469,3724.0,15.938644987589088,642.685,1.3326797640601264,372.4,1.5938644987589252,,0.0,,1.0,100,100
9,3,2,0.5147217192050051,0.004293758268088095,0.2725398936895464,0.03398029898907231,0.17164677393771324,0.09086204446186433,217.45218056212548,5.260371829476868,3573.69,4.019384846647134,3699.55,35.54123370015879,595.615,0.6698974744411463,369.955,3.554123370015865,,0.0,,1.0,100,100
10,3,2,0.4871661678062257,0.003756573417184425,0.020382944134215045,0.00217575831627916,0.22989266766488942,0.09969400280408823,280.42635049644144,0.8621072004759024,3596.64,4.598023290699483,3588.6,8.229044398784566,599.44,0.7663372151166399,358.86,0.8229044398784815,,0.0,,1.0,100,100
11,3,2,0.21483568984781204,0.008826732984898252,0.06343098792962043,0.004067572018814099,0.36064015132272637,0.15374807623275716,258.15503484641175,1.3092224252494307,4958.46,60.403762676298186,3620.6,18.412775538476033,826.41,10.06729377938302,362.06,1.8412775538476078,,0.0,,1.0,100,100
12,4,3,0.24140886775926115,0.008899434856390925,0.16641801154626276,0.013731207558354145,1.5071035475579984,0.8535282893622022,260.7847787665788,2.713290815240979,3795.39,9.60733621202604,3756.8,31.11984004529007,632.565,1.6012227020043595,375.68,3.1119840045290146,,0.0,,1.0,100,100
13,4,3,0.282568284925057,0.0041724031785456955,0.02662272187699901,0.005441417055609563,1.6820405409980754,0.8450767481712101,298.80591786927386,18.23646202957052,5100.0,3.1399561259441617e-12,3600.7000000000007,195.0472877136324,850.0,0.0,360.07,19.504728771363226,,0.08,,0.92,100,100
14,4,3,0.5155206891891012,0.0041421357017136584,0.0232189959727488,0.00957517306812702,0.2292261434250176,0.117726693643576,246.21351021501596,27.8054249236181,3577.47,4.056308218520679,3557.6,279.2029420122268,596.245,0.6760513697534046,355.76,27.92029420122267,,0.43,,0.57,100,100
15,4,3,0.5154462634414447,0.003665005474253352,0.10660453976028401,0.006828956707905679,0.5548196710633805,0.20366931771235938,265.4368928399927,1.853445251361398,3572.64,4.248636144801071,3754.9,34.17852713578671,595.44,0.7081060241334918,375.49,3.417852713578684,,0.0,,1.0,100,100
16,4,3,0.1885366424495625,0.008828910148071292,0.03886295811606897,0.006799576890216393,0.5011489101138872,0.41024652964729713,276.6515762505259,6.626573716449677,4954.68,63.99619306859337,3703.95,26.96139215001093,825.78,10.666032178098959,370.395,2.6961392150010854,,0.0,,1.0,100,100
17,4,3,0.5682751380476772,0.0035024674129705657,0.052988311469912966,0.02698698991599706,0.5197179408557473,0.22574547622075058,277.5171257272441,15.154849728259837,3518.76,2.9132924204880117,3652.6,162.03017551609918,586.46,0.4855487367479971,365.26,16.20301755160988,,0.21,,0.79,100,100
18,4,3,0.41466305264894304,0.0053142419383436215,0.016506953025310172,0.0029058161871675665,0.18697615608354656,0.10359711260331136,247.1362870707956,7.968819165319885,3699.48,5.9040817929787535,3573.55,78.05170197899695,616.58,0.984013632163106,357.355,7.805170197899711,,0.88,,0.12,100,100
19,4,3,0.4031144986575249,0.006091132623094803,0.02356544992486639,0.010372356142386666,0.2925347455614337,0.10878408564244996,253.94647056174506,29.69243592515057,3700.32,6.256923438007459,3484.7,307.3253959403602,616.72,1.0428205730012943,348.47,30.73253959403599,,0.55,,0.45,100,100
