case,n_agents,n_additional_agents,baseline_min_sep_nmi,baseline_min_sep_nmi_std,rl_min_sep_nmi,rl_min_sep_nmi_std,baseline_risk_exposure,baseline_risk_exposure_std,rl_risk_exposure,rl_risk_exposure_std,baseline_dist_m,baseline_dist_m_std,rl_dist_m,rl_dist_m_std,baseline_time_s,baseline_time_s_std,rl_time_s,rl_time_s_std,baseline_collision_rate,rl_collision_rate,baseline_success_rate,rl_success_rate,n_episodes_baseline,n_episodes_rl
1,2,1,0.23003772770084263,0.006839020381824248,0.18428888505329533,0.010710390685684787,2.096022198708504,0.9482547497624738,228.5121639824278,2.913162504943935,3791.91,9.792900953799089,3694.05,28.53046395937821,631.985,1.6321501589664298,369.405,2.8530463959378114,0.0,0.0,1.0,1.0,100,100
2,2,1,0.499790886536658,0.0036087505718913324,0.3497580936191678,0.012259149212089844,0.12073885951517896,0.06288324639980418,169.71872910561015,7.522845965321782,3573.4500000000007,3.7507574992498562,3688.3,27.70898552433661,595.575,0.625126249875038,368.83,2.7708985524336303,0.0,0.0,1.0,1.0,100,100
3,2,1,1.05,0.0,0.3156697892987562,0.0025044406501455747,0.4653223333946924,0.08486313553386894,193.38298903637727,3.7386136264265177,3507.72,1.602271115408074,3691.4,26.005826852900586,584.62,0.2670451859014337,369.14,2.60058268529003,0.0,0.0,1.0,1.0,100,100
4,2,1,0.39095554099427643,0.009335643432135207,0.020323139181468917,0.007281055931903336,0.06185151759079663,0.0752946620424969,206.75859615195685,55.40064630698848,4746.96,126.37597585272022,2867.45,746.9508708980491,791.16,21.062662642120003,286.745,74.69508708980486,0.0,0.54,1.0,0.46,100,100
5,3,2,0.2615435788655882,0.006754370373321082,0.199893830149638,0.011619731996478219,2.064807522966926,0.684101707462916,230.4075514504242,2.573368478606657,3857.130000000001,9.227380205374773,3658.4,13.140268896284658,642.855,1.537896700895825,365.84,1.3140268896284681,0.0,0.0,1.0,1.0,100,100
6,3,2,0.5620717282107509,0.0028774737872937256,0.0503578585361741,0.030876364394294656,0.14412383452254512,0.09165022215885163,239.6349846124874,21.250788782180308,3524.4000000000005,3.0151134457774993,3524.7,254.428275698177,587.4,0.5025189076296062,352.47,25.44282756981768,0.0,0.33,1.0,0.67,100,100
7,3,2,0.6846412127094292,0.0064706162961126416,0.10343759310943261,0.004991519493116549,0.557372990989361,0.11593888644246443,212.7491334602498,4.249891950981245,3508.05,2.5361029517383518,3691.4,27.916542288279864,584.675,0.42268382528979764,369.14,2.7916542288280137,0.0,0.0,1.0,1.0,100,100
8,3,2,0.2617129483316329,0.006630862575479013,0.20089036644968977,0.01130863886253071,2.0477767637887188,0.81108693803327,230.60844148903627,2.7022677642302537,3856.109999999999,7.996078584360469,3658.9,11.797534411130496,642.685,1.3326797640601264,365.89,1.179753441113092,0.0,0.0,1.0,1.0,100,100
9,3,2,0.5147217192050051,0.004293758268088095,0.35241181195875276,0.011755251111612743,0.17164677393771324,0.09086204446186433,168.3398826955873,6.98437812037177,3573.69,4.019384846647134,3692.35,28.046273091864556,595.615,0.6698974744411463,369.235,2.804627309186435,0.0,0.0,1.0,1.0,100,100
10,3,2,0.4871661678062257,0.003756573417184425,0.054392738779660846,0.0098317669415494,0.22989266766488942,0.09969400280408823,260.5586316441854,2.7817681887946106,3596.64,4.598023290699483,3689.8,29.188692981697404,599.44,0.7663372151166399,368.98,2.9188692981697524,0.0,0.0,1.0,1.0,100,100
