case,n_agents,n_additional_agents,baseline_min_sep_nmi,baseline_min_sep_nmi_std,rl_min_sep_nmi,rl_min_sep_nmi_std,baseline_risk_exposure,baseline_risk_exposure_std,rl_risk_exposure,rl_risk_exposure_std,baseline_dist_m,baseline_dist_m_std,rl_dist_m,rl_dist_m_std,baseline_time_s,baseline_time_s_std,rl_time_s,rl_time_s_std,baseline_collision_rate,rl_collision_rate,baseline_success_rate,rl_success_rate,baseline_near_miss_rate,rl_near_miss_rate,n_episodes_baseline,n_episodes_rl
1,2,1,0.2289020891198962,0.005974192482548331,0.1919909638792437,0.009155091096618776,408.86304208082356,2.5903982725447254,194.3862159926495,4.894888075055853,3792.63,8.772840319573131,3654.36,21.16291782597785,631.605,1.4621400532621818,304.03,1.763576485498154,0.0,0.0,1.0,1.0,0.0,0.0,100,100
2,2,1,0.49116606289648024,0.004273456545598454,0.2675689287740255,0.012298048240455701,212.22954101405617,3.184382048925803,178.161632465405,4.220783809339785,3589.71,4.8851351521268285,3694.8,28.0778139527213,597.785,0.8141891920211421,307.4,2.33981782939345,0.0,0.0,1.0,1.0,0.0,0.0,100,100
3,2,1,1.0,0.0,0.10484629387767815,0.003967403781733705,166.3152432771346,17.205356596193507,175.74997333694253,3.077582569132306,3507.96,1.6448266004215946,3694.62,28.114764804280398,584.16,0.2741377667369368,307.385,2.342897067023361,0.0,0.0,1.0,1.0,0.0,0.0,100,100
4,2,1,0.34971508679904356,0.007314530002189705,0.10621000547978647,0.01182255433322881,436.9707345592721,16.504951661547693,216.01744403104516,1.4104324283739123,5079.27,101.3446818804743,3669.9875,15.35515472130291,846.045,16.89078031341239,305.35,1.2939252004047312,0.0,0.0,1.0,1.0,0.0,0.0,100,100
5,3,2,0.2611146996871779,0.00643182476420051,0.20437350420440092,0.010038614494480144,403.75386147631684,5.198513036685241,190.60552411161035,2.1954088459594825,3856.35,9.198567082086026,3687.84,23.840683333708835,642.225,1.5330945136810017,306.82,1.9867236111424023,0.0,0.0,1.0,1.0,0.0,0.0,100,100
6,3,2,0.5554796854382958,0.0024465549493529865,0.24726186100082556,0.017195108012584726,196.30559510126932,0.2760765647572017,194.14911586905896,2.5411752665530716,3539.61,3.064607345455235,3692.94,29.101640066247953,589.435,0.5107678909092058,307.245,2.4251366721873384,0.0,0.0,1.0,1.0,0.0,0.0,100,100
7,3,2,0.651716080924027,0.006108685228248156,0.18897081331675178,0.014405769722161229,194.89999999999765,0.1340050420345646,191.44454988785736,3.6345899639394195,3508.2,2.4120907566220753,3697.14,29.611975464482125,584.2,0.4020151261036849,307.595,2.4676646220401763,0.0,0.0,1.0,1.0,0.0,0.0,100,100
8,3,2,0.2617892781470465,0.006330914987223033,0.20552616273409663,0.010200534387744235,403.8862984362302,4.654222623893615,190.5109636499788,2.4164559170404747,3856.53,7.716511222990938,3691.8,26.893730259536827,642.255,1.286085203831827,307.15,2.2411441882947365,0.0,0.0,1.0,1.0,0.0,0.0,100,100
9,3,2,0.5140768536224037,0.0032058702966954607,0.26887800903909226,0.01179451883302653,208.71504210821956,2.062166288283946,180.02036890088402,3.8544372336777997,3590.88,3.715324530056127,3699.54,28.50320556135269,597.98,0.619220755009345,307.795,2.3752671301127246,0.0,0.0,1.0,1.0,0.0,0.0,100,100
10,3,2,0.47964900813459993,0.003769130961127578,0.17483688946292092,0.013995486471939104,220.24983210890238,3.9927728834326737,207.3230221180421,3.150639087839378,3613.89,4.664274278540449,3679.08,16.69795850341651,601.815,0.7773790464234174,306.09,1.3914965419513718,0.0,0.0,1.0,1.0,0.0,0.0,100,100
11,3,2,0.1733393847572764,0.0078466536021953,0.11359236301960397,0.01235420654803593,494.91668695010725,11.232884818762491,212.17709427257475,1.8663966646478145,4946.4,52.622152265855746,3665.58,16.40964239818659,823.9,8.77035871097596,304.965,1.3674701998488843,0.0,0.0,1.0,1.0,0.0,0.0,100,100
12,4,3,0.2624277202167676,0.007251582464591468,0.180497390362957,0.01442710343304478,397.5213912013871,4.278582249809331,207.10926434163778,2.85516218280157,3787.77,8.863561771248008,3682.26,21.511857195509677,630.795,1.4772602952079839,306.355,1.7926547662924703,0.0,0.0,1.0,1.0,0.0,0.0,100,100
13,4,3,0.24835161056254926,0.0032330348590349353,0.10111022838923107,0.010532440770426851,542.382201368499,9.301750424805503,225.5154741109909,2.8457757739109377,5339.94,59.64741859841489,3663.0,16.281612607199246,885.5972222222222,9.106041520621014,304.75,1.3568010505999362,0.0,0.0,0.72,1.0,0.0,0.0,100,100
14,4,3,0.521637615589423,0.003174401917379717,0.24759619857715762,0.012196498233823634,203.87457647183408,2.0511336233920314,194.62660822676858,1.7060549484340752,3587.49,4.391210228709981,3696.12,24.62784824321664,597.415,0.7318683714516655,307.51,2.05232068693472,0.0,0.0,1.0,1.0,0.0,0.0,100,100
15,4,3,0.5178154129977078,0.003602962819730639,0.2203696900360023,0.018474755510242552,204.7835624521519,2.1019746556909724,199.47451200437305,1.6841212505976566,3583.2,4.045199174779432,3693.84,33.3741326070465,596.7,0.6741998624632421,307.32,2.7811777172538785,0.0,0.0,1.0,1.0,0.0,0.0,100,100
