#{"t_start": 1772039149.9034462, "env_id": "None"}
r,l,t
316.258955,2000,20.843238
308.290791,2000,33.395119
245.254347,2000,43.435395
201.988596,2000,51.746896
164.369627,2000,56.476408
179.717425,2000,62.554573
181.434622,2000,68.200032
188.927614,2000,73.302194
266.548029,2000,77.752032
269.460122,2000,81.6806
338.456139,2000,86.734638
166.00304,2000,93.518864
149.075581,2000,99.342225
148.297158,2000,106.46501
187.350216,2000,113.455838
172.04955,2000,118.862473
186.295522,2000,123.844363
181.601487,2000,128.679898
150.793108,2000,133.696442
136.509102,2000,138.196831
158.25646,2000,141.186908
171.357944,2000,143.892443
203.246653,2000,147.818405
236.060287,2000,152.945673
169.313621,2000,156.334928
186.420761,2000,159.574557
163.479648,2000,163.05965
165.469622,2000,165.934215
153.338848,2000,168.918025
180.402266,2000,172.579916
179.848217,2000,177.062153
150.954235,2000,181.993669
162.360359,2000,187.313453
163.299656,2000,192.137501
152.121339,2000,196.150539
168.794741,2000,199.117852
147.95942,2000,202.092839
166.222389,2000,205.119563
202.124429,2000,208.118764
332.079011,2000,211.108055
238.407148,2000,214.629289
181.881592,2000,218.575768
132.197605,2000,220.937615
155.533172,2000,224.063521
132.844523,2000,227.058491
123.869955,2000,229.933192
150.331448,2000,233.019162
162.641753,2000,238.823379
160.272373,2000,244.178576
169.820455,2000,248.925441
181.748058,2000,254.11512
215.73744,2000,258.071609
208.774622,2000,260.966039
252.39949,2000,264.061452
173.102787,2000,267.254341
202.854147,2000,270.223878
157.979303,2000,273.31464
155.553121,2000,276.943144
210.297364,2000,280.662671
151.522237,2000,284.771714
178.342087,2000,288.760023
150.653942,2000,293.65134
128.687412,2000,300.489268
140.851623,2000,307.777608
139.459949,2000,312.866386
156.329228,2000,317.733264
134.431698,2000,320.661198
170.679644,2000,323.714909
124.262574,2000,326.614526
136.705762,2000,329.58791
140.900299,2000,332.841193
132.609843,2000,335.752646
140.68628,2000,338.759968
145.085012,2000,341.987755
143.025465,2000,345.115601
145.929315,2000,348.997512
152.355272,2000,353.335787
140.758515,2000,358.20959
156.986545,2000,363.068615
130.505225,2000,368.092033
153.794946,2000,373.904946
128.687994,2000,377.517692
159.243108,2000,380.469365
147.885281,2000,383.570029
144.923918,2000,386.67616
160.753136,2000,389.467239
132.243662,2000,392.618646
158.446867,2000,395.567741
168.324843,2000,398.556355
276.903334,2000,401.618035
306.951207,2000,404.685714
283.490842,2000,408.535124
285.347902,2000,413.696838
256.640308,2000,420.581703
